CLAVE,SITIO,ORGANISMO_DE_CUENCA,ESTADO,MUNICIPIO,CUENCA,CUERPO DE AGUA,TIPO,SUBTIPO,LONGITUD,LATITUD,PERIODO,DBO_mg/L,CALIDAD_DBO,DQO_mg/L,CALIDAD_DQO,SST_mg/L,CALIDAD_SST,COLI_FEC_NMP_100mL,CALIDAD_COLI_FEC,E_COLI_NMP_100mL,CALIDAD_E_COLI,ENTEROC_NMP_100mL,CALIDAD_ENTEROC,OD_PORC,CALIDAD_OD_PORC,OD_PORC_SUP,CALIDAD_OD_PORC_SUP,OD_PORC_MED,CALIDAD_OD_PORC_MED,OD_PORC_FON,CALIDAD_OD_PORC_FON,TOX_D_48_UT,CALIDAD_TOX_D_48,TOX_V_15_UT,CALIDAD_TOX_V_15,TOX_D_48_SUP_UT,CALIDAD TOX_D_48_SUP,TOX_D_48_FON_UT,CALIDAD_TOX_D_48_FON,TOX_FIS_SUP_15_UT,CALIDAD_TOX_FIS_SUP_15,TOX_FIS_FON_15_UT,CALIDAD_TOX_FIS_FON_15,SEMAFORO,CONTAMINANTES,CUMPLE_CON_DBO,CUMPLE_CON_DQO,CUMPLE_CON_SST,CUMPLE_CON_CF,CUMPLE_CON_E_COLI,CUMPLE_CON_ENTEROC,CUMPLE_CON_OD,CUMPLE_CON_TOX,GRUPO
DLCHI324,TINTERO 2,RIO BRAVO,CHIHUAHUA,NAMIQUIPA,RiO SANTA MARiA 1,RIO SANTA MARIA,LeNTICO (HUMEDAL),PRESA,"-10,736,258","2,950,726",2012-2021,2,Excelente,"33,695",Aceptable,"71,5",Buena calidad,180,Buena calidad,<3,Excelente,,,,,"104,6",Excelente,"95,5",Excelente,"88,15",Excelente,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
DLCHI325,SAN MARCOS 1,RIO BRAVO,CHIHUAHUA,CHIHUAHUA,RiO CONCHOS 3,PRESA SAN MARCOS,LeNTICO,PRESA,"-10,636,279","2,878,928",2012-2021,<2,Excelente,"34,78",Aceptable,"10,75",Excelente,31,Excelente,<3,Excelente,,,,,"98,1",Excelente,"86,6",Excelente,"47,2",Aceptable,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
DLCHI326,SAN MARCOS 2,RIO BRAVO,CHIHUAHUA,CHIHUAHUA,RiO CONCHOS 3,PRESA SAN MARCOS,LeNTICO,PRESA,"-10,636,019","2,878,962",2012-2021,<2,Excelente,42,Contaminada,11,Excelente,31,Excelente,<3,Excelente,,,,,"97,7",Excelente,"76,25",Excelente,"67,75",Buena calidad,,,,,<1,No Toxico,<1,No Toxico,"1,0",Toxicidad baja,<1,No Toxico,Rojo,"DQO,",SI,NO,SI,SI,SI,ND,SI,SI,LENTICO
DLCHI327,TINTERO 1,RIO BRAVO,CHIHUAHUA,NAMIQUIPA,RiO SANTA MARiA 1,RIO SANTA MARIA,LeNTICO,PRESA,"-10,737,521","2,949,191",2012-2021,3,Excelente,"34,61",Aceptable,"141,7",Aceptable,1523,Contaminada,10,Excelente,,,,,"90,7",Excelente,"91,3",Excelente,"89,1",Excelente,,,,,<1,No Toxico,<1,No Toxico,"1,5",Toxicidad moderada,<1,No Toxico,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LENTICO
DLCHI328,RIO SAN ANTONIO 3,RIO BRAVO,CHIHUAHUA,CUAUHTeMOC,LAGUNA DE BUSTILLOS,RIO SAN ANTONIO,LÓTICO,RiO,"-10,680,900","2,849,386",2012-2021,"9,2",Aceptable,"62,6",Contaminada,18,Excelente,24196,Fuertemente contaminada,9450,Fuertemente contaminada,,,"110,4",Buena calidad,,,,,,,"1,1",Toxicidad baja,<1,No Toxico,,,,,,,,,Rojo,"DQO,CF,E_COLI,",SI,NO,SI,NO,NO,ND,SI,SI,LOTICO
DLCHI329,RIO SAN ANTONIO 1,RIO BRAVO,CHIHUAHUA,CUAUHTeMOC,LAGUNA DE BUSTILLOS,RIO SAN ANTONIO,LÓTICO,RiO,"-10,685,957","2,842,404",2012-2021,"5,875",Buena calidad,"57,97",Contaminada,"52,315",Buena calidad,24196,Fuertemente contaminada,24196,Fuertemente contaminada,,,"70,23",Excelente,,,,,,,"2,0",Toxicidad moderada,"5,4",Toxicidad alta,,,,,,,,,Rojo,"DQO,CF,E_COLI,TOX_L,",SI,NO,SI,NO,NO,ND,SI,NO,LOTICO
DLCHI331,RIO SAN ANTONIO 2,RIO BRAVO,CHIHUAHUA,CUAUHTeMOC,LAGUNA DE BUSTILLOS,RIO SAN ANTONIO,LÓTICO,RiO,"-10,687,530","2,839,293",2012-2021,"8,83",Aceptable,"60,98",Contaminada,38,Buena calidad,24196,Fuertemente contaminada,24196,Fuertemente contaminada,,,"81,95",Excelente,,,,,,,"1,9",Toxicidad moderada,"2,2",Toxicidad moderada,,,,,,,,,Rojo,"DQO,CF,E_COLI,",SI,NO,SI,NO,NO,ND,SI,SI,LOTICO
DLCHI332,RIO LOS NOGALES 1,RIO BRAVO,CHIHUAHUA,CUAUHTeMOC,LAGUNA DE BUSTILLOS,RIO LOS NOGALES,LÓTICO,RiO,"-10,687,631","2,839,085",2012-2021,"7,88",Aceptable,"82,8",Contaminada,"101,25",Aceptable,24196,Fuertemente contaminada,24196,Fuertemente contaminada,,,"64,1",Buena calidad,,,,,,,"2,0",Toxicidad moderada,"17,4",Toxicidad alta,,,,,,,,,Rojo,"DQO,CF,E_COLI,TOX_L,",SI,NO,SI,NO,NO,ND,SI,NO,LOTICO
DLCHI333,"JUGOMEX, S.A. DE C.V. (AGUAS ARRIBA)",NOROESTE,CHIHUAHUA,GUERRERO,RiO YAQUI 1,ARROYO EL ROSARIO,LÓTICO,DESCARGA,"-10,724,731","2,845,547",2012-2021,<2,Excelente,"17,4",Buena calidad,<10,Excelente,"3454,5",Contaminada,"80,5",Excelente,,,"106,65",Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
DLCHI334,"JUGOMEX, S.A. DE C.V. (AGUAS ABAJO) II",NOROESTE,CHIHUAHUA,GUERRERO,RiO YAQUI 1,ARROYO EL ROSARIO,LÓTICO,DESCARGA,"-10,724,480","2,846,110",2012-2021,<2,Excelente,"20,305",Aceptable,<10,Excelente,715,Aceptable,"103,5",Excelente,,,"115,1",Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LOTICO
DLCHI335,PAPIGOCHI,NOROESTE,CHIHUAHUA,GUERRERO,RiO YAQUI 1,RIO PAPIGOCHI,LÓTICO,RiO,"-10,743,668","2,838,869",2012-2021,<2,Excelente,<10,Excelente,<10,Excelente,417,Aceptable,31,Excelente,,,"102,65",Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LOTICO
DLCHI336,"JUGOMEX, S.A. DE C.V. (AGUAS ABAJO)",NOROESTE,CHIHUAHUA,GUERRERO,RiO YAQUI 1,ARROYO EL ROSARIO,LÓTICO,DESCARGA,"-10,724,052","2,847,048",2012-2021,<2,Excelente,"11,1",Buena calidad,<10,Excelente,480,Aceptable,41,Excelente,,,"107,6",Excelente,,,,,,,"1,6",Toxicidad moderada,<1,No Toxico,,,,,,,,,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LOTICO
DLCHI337,PRESA ABRAHAM GONZALEZ II,NOROESTE,CHIHUAHUA,GUERRERO,RiO YAQUI 1,PRESA ABRAHAM GONZALEZ,LeNTICO (HUMEDAL),PRESA,"-10,745,664","2,846,236",2012-2021,<2,Excelente,"17,79",Buena calidad,36,Buena calidad,"128,5",Buena calidad,<3,Excelente,,,,,"97,6",Excelente,"96,25",Excelente,"91,2",Excelente,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
DLCHI338,PRESA ABRAHAM GONZALEZ I,NOROESTE,CHIHUAHUA,GUERRERO,RiO YAQUI 1,PRESA ABRAHAM GONZALEZ,LeNTICO (HUMEDAL),PRESA,"-10,747,943","2,847,532",2012-2021,<2,Excelente,"13,415",Buena calidad,35,Buena calidad,"110,5",Buena calidad,<3,Excelente,,,,,"95,15",Excelente,"94,4",Excelente,"89,7",Excelente,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
DLCHI339,PRESA ABRAHAM GONZALEZ III,NOROESTE,CHIHUAHUA,GUERRERO,RiO YAQUI 1,PRESA ABRAHAM GONZALEZ,LeNTICO (HUMEDAL),PRESA,"-10,748,169","2,847,946",2012-2021,<2,Excelente,"15,04",Buena calidad,"28,67",Buena calidad,232,Aceptable,<3,Excelente,,,,,"97,35",Excelente,"95,95",Excelente,"90,35",Excelente,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
DLCHI340,PRESA ABRAHAM GONZALEZ,NOROESTE,CHIHUAHUA,GUERRERO,RiO YAQUI 1,PRESA ABRAHAM GONZALEZ,LeNTICO (HUMEDAL),PRESA,"-10,748,402","2,848,188",2012-2021,<2,Excelente,"15,2",Buena calidad,45,Buena calidad,225,Aceptable,10,Excelente,,,,,"98,5",Excelente,"91,6",Excelente,"69,9",Buena calidad,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
DLCHI341,LAS LAJAS 4,RIO BRAVO,CHIHUAHUA,BUENAVENTURA,RiO DEL CARMEN 1,RIO DEL CARMEN,LeNTICO (HUMEDAL),PRESA,"-10,702,854","2,987,192",2012-2021,<2,Excelente,"15,73",Buena calidad,76,Aceptable,420,Aceptable,10,Excelente,,,,,"104,55",Excelente,90,Excelente,"88,25",Excelente,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
DLCHI342,SAN MARCOS 3,RIO BRAVO,CHIHUAHUA,CHIHUAHUA,RiO CONCHOS 3,PRESA SAN MARCOS,LeNTICO,PRESA,"-10,635,792","2,879,053",2012-2021,<2,Excelente,"46,98",Contaminada,<10,Excelente,110,Buena calidad,10,Excelente,,,,,"107,35",Excelente,"86,3",Excelente,"67,05",Buena calidad,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Rojo,"DQO,",SI,NO,SI,SI,SI,ND,SI,SI,LENTICO
DLCHI343,SAN MARCOS 4,RIO BRAVO,CHIHUAHUA,CHIHUAHUA,RiO CONCHOS 3,PRESA SAN MARCOS,LeNTICO,PRESA,"-10,635,662","2,879,234",2012-2021,<2,Excelente,"33,35",Aceptable,22,Excelente,86,Excelente,10,Excelente,,,,,"110,1",Buena calidad,"98,8",Excelente,"56,6",Buena calidad,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
DLCHI350,PRESA LUIS L. LEON 7,RIO BRAVO,CHIHUAHUA,ALDAMA,RiO CONCHOS 3,PRESA L. LEON,LeNTICO (HUMEDAL),PRESA,"-10,531,327","2,893,573",2012-2021,2,Excelente,"19,095",Buena calidad,"10,5",Excelente,7,Excelente,<3,Excelente,,,,,"84,8",Excelente,"88,4",Excelente,"67,4",Buena calidad,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
DLCHI351,PRESA LUIS L. LEON 8,RIO BRAVO,CHIHUAHUA,ALDAMA,RiO CONCHOS 3,PRESA L. LEON,LeNTICO (HUMEDAL),PRESA,"-10,531,778","2,892,951",2012-2021,<2,Excelente,"20,2",Aceptable,<10,Excelente,<3,Excelente,<3,Excelente,,,,,"92,9",Excelente,"87,2",Excelente,"74,1",Excelente,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
DLCHI352,RIO CHUVISCAR 4,RIO BRAVO,CHIHUAHUA,CHIHUAHUA,RiO CONCHOS 3,RIO CHUVISCAR,LÓTICO,RiO,"-10,606,350","2,865,974",2012-2021,"10,8",Aceptable,"95,05",Contaminada,44,Buena calidad,8164,Contaminada,110,Excelente,,,"83,5",Excelente,,,,,,,"2,2",Toxicidad moderada,"5,9",Toxicidad alta,,,,,,,,,Rojo,"DQO,CF,TOX_L,",SI,NO,SI,NO,SI,ND,SI,NO,LOTICO
DLCHI353,"PAPELERA DE CHIHUAHUA, S.A. DE C.V. (AGUAS ARRIBA)",RIO BRAVO,CHIHUAHUA,CHIHUAHUA,RiO CONCHOS 3,AFLUENTE DE DESCARGA RIO CONCHOS Y CUERPO DE DESCARGA RIO CHUVISCAR,LÓTICO,RiO,"-10,606,481","2,866,067",2012-2021,"41,9",Contaminada,"196,115",Contaminada,"67,5",Buena calidad,24000,Fuertemente contaminada,280,Buena calidad,,,"22,2",Contaminada,,,,,,,"2,9",Toxicidad moderada,"13,0",Toxicidad alta,,,,,,,,,Rojo,"DBO,DQO,CF,OD%L,TOX_L,",NO,NO,SI,NO,SI,ND,NO,NO,LOTICO
DLCHI354,"PAPELERA DE CHIHUAHUA, S.A. DE C.V. (AGUAS ABAJO)",RIO BRAVO,CHIHUAHUA,CHIHUAHUA,RiO CONCHOS 3,AFLUENTE DE DESCARGA RIO CONCHOS Y CUERPO DE DESCARGA RIO CHUVISCAR,LÓTICO,RiO,"-10,606,249","2,866,030",2012-2021,"46,37",Contaminada,"249,29",Fuertemente contaminada,71,Buena calidad,24000,Fuertemente contaminada,210,Buena calidad,,,"30,3",Aceptable,,,,,,,"6,0",Toxicidad alta,"9,2",Toxicidad alta,,,,,,,,,Rojo,"DBO,DQO,CF,TOX_L,",NO,NO,SI,NO,SI,ND,SI,NO,LOTICO
DLCHI356,PRESA LUIS L. LEON 9,RIO BRAVO,CHIHUAHUA,ALDAMA,RiO CONCHOS 3,PRESA L. LEON,LeNTICO (HUMEDAL),PRESA,"-10,529,129","2,896,984",2012-2021,<2,Excelente,"21,13",Aceptable,<10,Excelente,15,Excelente,<3,Excelente,,,,,"73,3",Excelente,"66,85",Buena calidad,"61,25",Buena calidad,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
DLCHI357,PRESA LUIS L. LEON 10,RIO BRAVO,CHIHUAHUA,CHIHUAHUA,RiO CONCHOS 3,PRESA L. LEON,LeNTICO (HUMEDAL),PRESA,"-10,527,562","2,897,921",2012-2021,"2,45",Excelente,"18,575",Buena calidad,<10,Excelente,<3,Excelente,<3,Excelente,,,,,"76,6",Excelente,"46,3",Aceptable,"35,1",Aceptable,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,"1,5",Toxicidad moderada,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
DLCHI359,RIO CHUVISCAR 2,RIO BRAVO,CHIHUAHUA,CHIHUAHUA,RiO CONCHOS 3,RIO CHUVISCAR,LÓTICO,RiO,"-10,598,210","2,870,630",2012-2021,"5,9",Buena calidad,"54,32",Contaminada,104,Aceptable,4300,Contaminada,14,Excelente,,,"45,85",Aceptable,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Rojo,"DQO,CF,",SI,NO,SI,NO,SI,ND,SI,SI,LOTICO
DLCHI360,RIO CHUVISCAR 5,RIO BRAVO,CHIHUAHUA,CHIHUAHUA,RiO CONCHOS 3,RIO CHUVISCAR,LÓTICO,RiO,"-10,598,519","2,871,177",2012-2021,"9,085",Aceptable,"67,515",Contaminada,30,Buena calidad,24000,Fuertemente contaminada,150,Buena calidad,,,"50,1",Buena calidad,,,,,,,"3,8",Toxicidad moderada,"6,7",Toxicidad alta,,,,,,,,,Rojo,"DQO,CF,TOX_L,",SI,NO,SI,NO,SI,ND,SI,NO,LOTICO
DLCHI363,RIO CHUVISCAR 1,RIO BRAVO,CHIHUAHUA,ALDAMA,RiO CONCHOS 3,RIO CHUVISCAR,LÓTICO,RiO,"-10,592,230","2,882,087",2012-2021,"2,75",Excelente,"21,54",Aceptable,20,Excelente,"1311,5",Contaminada,31,Excelente,,,"73,85",Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
DLCHI364,PRESA CHIHUAHUA 2,RIO BRAVO,CHIHUAHUA,CHIHUAHUA,RiO CHUVISCAR,PRESA CHIHUAHUA,LeNTICO,PRESA,"-10,616,902","2,857,073",2012-2021,"2,28",Excelente,"23,3",Aceptable,14,Excelente,<3,Excelente,<3,Excelente,,,,,"61,6",Buena calidad,"48,3",Aceptable,"54,1",Buena calidad,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
DLCHI365,ARROYO - CONFLUENTE CHUVISCAR PRESA CHIHUAHUA 1,RIO BRAVO,CHIHUAHUA,CHIHUAHUA,RiO CONCHOS 3,ARROYO,LeNTICO,PRESA,"-10,611,463","2,857,382",2012-2021,"5,39",Buena calidad,"36,8",Aceptable,<10,Excelente,"129,5",Buena calidad,15,Excelente,,,,,"94,3",Excelente,"91,3",Excelente,"89,2",Excelente,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
DLCHI366,PRESA CHUVISCAR 3,RIO BRAVO,CHIHUAHUA,CHIHUAHUA,RiO CONCHOS 3,PRESA CHUVISCAR,LeNTICO,PRESA,"-10,611,446","2,860,466",2012-2021,"8,24",Aceptable,"66,37",Contaminada,48,Buena calidad,1575,Contaminada,7,Excelente,,,,,"115,9",Buena calidad,"78,9",Excelente,"54,8",Buena calidad,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Rojo,"DQO,CF,",SI,NO,SI,NO,SI,ND,SI,SI,LENTICO
DLCHI367,PRESA CHUVISCAR 2,RIO BRAVO,CHIHUAHUA,CHIHUAHUA,RiO CONCHOS 3,PRESA CHUVISCAR,LeNTICO,PRESA,"-10,611,559","2,860,249",2012-2021,"7,85",Aceptable,"118,8",Contaminada,"50,665",Buena calidad,38,Excelente,6,Excelente,,,,,"70,55",Excelente,,,150,Contaminada,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,,,Rojo,"DQO,OD%F,",SI,NO,SI,SI,SI,ND,NO,SI,LENTICO
